Feb. 19, 2024   10:11:47
Square Wave Voltammetry
File: c:\users\fu\desktop\noel\2024_02_19_ml1\2024_02_19_cbz08_03.txt
Data Source:  Experiment
Instrument Model:  CHI650E
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = 1.2
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 15
Quiet Time (sec) = 5
Sensitivity (A/V) = 1e-5

Difference:

Forward:

Reverse:
Potential/V, Diff(i/A), For(i/A), Rev(i/A)

0.504, -6.109e-7, -6.629e-7, -5.201e-8
0.508, -6.138e-7, -6.448e-7, -3.109e-8
0.512, -6.266e-7, -6.547e-7, -2.814e-8
0.516, -6.491e-7, -6.730e-7, -2.393e-8
0.520, -6.699e-7, -6.935e-7, -2.364e-8
0.524, -6.972e-7, -7.138e-7, -1.660e-8
0.528, -7.061e-7, -7.279e-7, -2.178e-8
0.532, -7.341e-7, -7.549e-7, -2.088e-8
0.536, -7.496e-7, -7.736e-7, -2.402e-8
0.540, -7.707e-7, -7.957e-7, -2.500e-8
0.544, -7.776e-7, -8.115e-7, -3.389e-8
0.548, -8.032e-7, -8.312e-7, -2.795e-8
0.552, -8.184e-7, -8.481e-7, -2.973e-8
0.556, -8.396e-7, -8.725e-7, -3.291e-8
0.560, -8.484e-7, -8.906e-7, -4.213e-8
0.564, -8.715e-7, -9.095e-7, -3.800e-8
0.568, -8.785e-7, -9.274e-7, -4.890e-8
0.572, -8.987e-7, -9.442e-7, -4.546e-8
0.576, -9.134e-7, -9.657e-7, -5.232e-8
0.580, -9.238e-7, -9.846e-7, -6.079e-8
0.584, -9.341e-7, -9.942e-7, -6.013e-8
0.588, -9.452e-7, -1.014e-6, -6.845e-8
0.592, -9.457e-7, -1.033e-6, -8.776e-8
0.596, -9.747e-7, -1.056e-6, -8.081e-8
0.600, -9.748e-7, -1.067e-6, -9.203e-8
0.604, -9.794e-7, -1.081e-6, -1.020e-7
0.608, -9.937e-7, -1.101e-6, -1.069e-7
0.612, -1.005e-6, -1.112e-6, -1.069e-7
0.616, -1.000e-6, -1.125e-6, -1.247e-7
0.620, -1.017e-6, -1.139e-6, -1.219e-7
0.624, -1.017e-6, -1.154e-6, -1.370e-7
0.628, -1.042e-6, -1.174e-6, -1.313e-7
0.632, -1.025e-6, -1.179e-6, -1.540e-7
0.636, -1.054e-6, -1.202e-6, -1.480e-7
0.640, -1.043e-6, -1.210e-6, -1.666e-7
0.644, -1.061e-6, -1.226e-6, -1.656e-7
0.648, -1.046e-6, -1.229e-6, -1.828e-7
0.652, -1.064e-6, -1.246e-6, -1.825e-7
0.656, -1.071e-6, -1.257e-6, -1.857e-7
