Feb. 22, 2024   10:36:49
Square Wave Voltammetry
File: c:\users\fu\desktop\noel\2024_02_22_ml2\2024_02_22_cbz08_11.txt
Data Source:  Experiment
Instrument Model:  CHI650E
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = 1.2
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 15
Quiet Time (sec) = 5
Sensitivity (A/V) = 1e-5

Difference:

Forward:

Reverse:

Potential/V, Diff(i/A), For(i/A), Rev(i/A)

0.504, -7.982e-7, -8.190e-7, -2.080e-8
0.508, -7.818e-7, -7.932e-7, -1.146e-8
0.512, -7.981e-7, -8.106e-7, -1.249e-8
0.516, -8.158e-7, -8.350e-7, -1.922e-8
0.520, -8.487e-7, -8.696e-7, -2.094e-8
0.524, -8.681e-7, -8.992e-7, -3.115e-8
0.528, -8.849e-7, -9.265e-7, -4.156e-8
0.532, -9.062e-7, -9.595e-7, -5.328e-8
0.536, -9.314e-7, -9.926e-7, -6.113e-8
0.540, -9.576e-7, -1.028e-6, -7.024e-8
0.544, -9.803e-7, -1.062e-6, -8.157e-8
0.548, -9.923e-7, -1.092e-6, -9.969e-8
0.552, -1.025e-6, -1.128e-6, -1.036e-7
0.556, -1.046e-6, -1.164e-6, -1.175e-7
0.560, -1.077e-6, -1.203e-6, -1.267e-7
0.564, -1.094e-6, -1.233e-6, -1.390e-7
0.568, -1.112e-6, -1.272e-6, -1.600e-7
0.572, -1.138e-6, -1.304e-6, -1.665e-7
0.576, -1.161e-6, -1.340e-6, -1.795e-7
0.580, -1.186e-6, -1.376e-6, -1.904e-7
0.584, -1.203e-6, -1.408e-6, -2.047e-7
0.588, -1.221e-6, -1.443e-6, -2.218e-7
0.592, -1.245e-6, -1.475e-6, -2.297e-7
0.596, -1.264e-6, -1.508e-6, -2.443e-7
0.600, -1.284e-6, -1.547e-6, -2.630e-7
0.604, -1.294e-6, -1.571e-6, -2.777e-7
0.608, -1.311e-6, -1.606e-6, -2.944e-7
0.612, -1.333e-6, -1.635e-6, -3.019e-7
0.616, -1.353e-6, -1.670e-6, -3.169e-7
0.620, -1.368e-6, -1.699e-6, -3.307e-7
0.624, -1.378e-6, -1.726e-6, -3.486e-7
0.628, -1.390e-6, -1.757e-6, -3.664e-7
0.632, -1.403e-6, -1.781e-6, -3.775e-7
0.636, -1.421e-6, -1.808e-6, -3.872e-7
0.640, -1.436e-6, -1.842e-6, -4.051e-7
0.644, -1.456e-6, -1.872e-6, -4.160e-7
0.648, -1.464e-6, -1.895e-6, -4.304e-7
0.652, -1.471e-6, -1.920e-6, -4.491e-7
0.656, -1.484e-6, -1.949e-6, -4.653e-7
0.660, -1.498e-6, -1.973e-6, -4.744e-7
0.664, -1.515e-6, -2.005e-6, -4.900e-7
0.668, -1.527e-6, -2.031e-6, -5.034e-7
0.672, -1.537e-6, -2.059e-6, -5.216e-7
0.676, -1.544e-6, -2.084e-6, -5.395e-7
0.680, -1.552e-6, -2.108e-6, -5.558e-7
0.684, -1.570e-6, -2.136e-6, -5.669e-7
0.688, -1.580e-6, -2.166e-6, -5.864e-7
0.692, -1.602e-6, -2.202e-6, -5.994e-7
0.696, -1.614e-6, -2.229e-6, -6.154e-7
0.700, -1.620e-6, -2.257e-6, -6.371e-7
0.704, -1.632e-6, -2.286e-6, -6.542e-7
0.708, -1.650e-6, -2.319e-6, -6.688e-7
0.712, -1.665e-6, -2.355e-6, -6.897e-7
0.716, -1.682e-6, -2.384e-6, -7.013e-7
0.720, -1.694e-6, -2.413e-6, -7.190e-7
0.724, -1.698e-6, -2.445e-6, -7.468e-7
0.728, -1.719e-6, -2.478e-6, -7.597e-7
0.732, -1.727e-6, -2.513e-6, -7.857e-7
0.736, -1.753e-6, -2.549e-6, -7.965e-7
0.740, -1.759e-6, -2.578e-6, -8.195e-7
0.744, -1.762e-6, -2.610e-6, -8.473e-7
0.748, -1.785e-6, -2.649e-6, -8.641e-7
0.752, -1.801e-6, -2.687e-6, -8.855e-7
0.756, -1.821e-6, -2.726e-6, -9.050e-7
0.760, -1.835e-6, -2.761e-6, -9.268e-7
0.764, -1.843e-6, -2.795e-6, -9.522e-7
0.768, -1.864e-6, -2.836e-6, -9.722e-7
0.772, -1.879e-6, -2.875e-6, -9.958e-7
0.776, -1.895e-6, -2.917e-6, -1.022e-6
0.780, -1.915e-6, -2.957e-6, -1.042e-6
0.784, -1.925e-6, -2.994e-6, -1.069e-6
0.788, -1.934e-6, -3.031e-6, -1.097e-6
0.792, -1.957e-6, -3.075e-6, -1.119e-6
0.796, -1.970e-6, -3.114e-6, -1.144e-6
0.800, -1.988e-6, -3.160e-6, -1.172e-6
0.804, -2.003e-6, -3.201e-6, -1.198e-6
0.808, -2.014e-6, -3.245e-6, -1.232e-6
0.812, -2.032e-6, -3.287e-6, -1.255e-6
0.816, -2.048e-6, -3.332e-6, -1.284e-6
0.820, -2.066e-6, -3.379e-6, -1.313e-6
0.824, -2.082e-6, -3.424e-6, -1.341e-6
0.828, -2.090e-6, -3.465e-6, -1.375e-6
0.832, -2.104e-6, -3.514e-6, -1.410e-6
0.836, -2.124e-6, -3.559e-6, -1.435e-6
0.840, -2.147e-6, -3.615e-6, -1.468e-6
0.844, -2.164e-6, -3.664e-6, -1.500e-6
0.848, -2.173e-6, -3.708e-6, -1.535e-6
0.852, -2.183e-6, -3.755e-6, -1.572e-6
0.856, -2.201e-6, -3.803e-6, -1.602e-6
0.860, -2.227e-6, -3.861e-6, -1.634e-6
0.864, -2.246e-6, -3.913e-6, -1.667e-6
0.868, -2.258e-6, -3.963e-6, -1.705e-6
0.872, -2.277e-6, -4.021e-6, -1.743e-6
0.876, -2.298e-6, -4.070e-6, -1.773e-6
0.880, -2.316e-6, -4.129e-6, -1.813e-6
0.884, -2.340e-6, -4.191e-6, -1.851e-6
0.888, -2.356e-6, -4.245e-6, -1.889e-6
0.892, -2.375e-6, -4.303e-6, -1.928e-6
